Date	Title	Description	Code 1	Code 2
2024-10-20T15:12:25Z	Biden Will Not Appear With Kamala Harris Before Election Day: REPORT	President Joe Biden reportedly has no plans to appear alongside Vice President Kamala Harris on the campaign trail before Election Day.		
2024-10-17T19:18:08Z	Fox News Interview With Kamala Harris Drew 7.1 Million Viewers, According To Early Nielsen Data	Kamala Harris’ sit down with Fox News’ Bret Baier drew an estimated 7.1 million viewers, according to early Nielsen data, easily beating cable news rivals. The interview also drew 882,000 in the 25-54 demo. The interview was Harris’ first appearance on Fox Ne…		
2024-10-18T07:14:41Z	Watch Molly Shannon Revive ‘SNL’ Character to Advise Kamala Harris	Molly Shannon's 'Saturday Night Live' character Mary Katherine Gallagher made an appearance in a video Kamala Harris recorded for the Al Smith Dinner.		
2024-10-19T00:13:11Z	The Collapse Of Kamala Harris	"The Collapse Of Kamala Harris
 
Authored by Josh Hammer via American Greatness,
On July 26, in the aftermath of the Democratic Party’s ruthless midsummer coup of their own democratically elected presidential nominee, this column predicted that the elevation o…"		
2024-11-02T15:02:27Z	Cardi B Delivers Speech on Women’s Rights, Healthcare, and More at Kamala Harris’ Milwaukee Rally	The “Bodak Yellow” rapper threw her full-throated support behind the vice president while rebuking her Republican opponent		
2024-10-30T03:19:16Z	[Removed]	[Removed]		
2024-10-26T02:18:37Z	Beyoncé has officially endorsed Kamala Harris. Will it matter?	Beyoncé wasn’t just on the playlist at Vice President Kamala Harris’s Houston rally on Friday, she was also a special guest. The question is just how much Beyoncé can help Harris. The rally in deep-red Texas comes as the vice president finds herself in a dead…		
2024-10-17T02:10:28Z	Kamala Harris spars with Bret Baier over immigration in Fox News interview	The Democratic presidential candidate defended track record and called for solutions to a 'broken immigration system'.		
2024-10-27T17:12:13Z	"Transcript: ""Face the Nation"" excerpt of Norah O'Donnell interview with Vice President Kamala Harris"	"""CBS Evening News"" anchor Norah O'Donnell interviewed Vice President Kamala Harris in Kalamazoo, Michigan."		
2024-10-24T17:16:03Z	[Removed]	[Removed]		
2024-10-23T20:17:01Z	Literal Billionaires Are Afraid to Publicly Endorse Kamala Harris for Fear of Retribution by Donald Trump	You can’t really blame them, but you definitely can.		
2024-10-21T00:05:41Z	’60 Minutes’ Says Donald Trump Has Made False Claim That Its Kamala Harris Interview Was Deceitfully Edited	After Donald Trump’s continued attacks, 60 Minutes issued a statement today in which pushed back on the former president’s claim that its interview with Kamala Harris was deceitfully edited. Trump has continuously blasted the show and CBS, even calling for th…		
2024-10-11T08:00:00Z	Kamala Harris bet big on courting Republicans. Is her bet paying off?	Democratic nominee Kamala Harris bet big on the Nikki Haley voter, the chunk of Republicans who kept opposing Donald Trump in primaries — even when the primaries were over. It explains much of Harris's messaging, like boasts about owning a gun and being willi…		
2024-10-28T06:00:00Z	POLL: Donald Trump leads Kamala Harris among Hispanic male voters in Texas	A recent Mason-Dixon Polling & Strategy poll has revealed that former president Donald Trump leads Vice President Kamala Harris among Hispanic male voters in Texas. The poll, conducted from Oct. 14 to 17 among 625 registered Hispanic voters in Texas, reveals …		
2024-10-15T15:17:48Z	Trump Mocks Kamala Harris' Allergies While Refusing to Disclose Own Records	"President Donald Trump believes that Vice President Kamala Harris' allergies are ""deeply serious"" and ""clearly impact her functioning.""
Trump took to his social media platform, Truth Social, overnight to analyze his political opponent's medical records releas…"		
2024-10-19T19:42:05Z	Lizzo Vows ‘The Whole Country Will Be Like Detroit’ if Kamala Harris Becomes President	"The Detroit native made the comments a week after Trump made similar remarks from the city, although his statement was not intended to be endearing.
The post Lizzo Vows ‘The Whole Country Will Be Like Detroit’ if Kamala Harris Becomes President first appeared…"		
2024-10-23T01:10:09Z	Insane Clown Posse Endorse Kamala Harris	Insane Clown Posse’s Violent J has endorsed Kamala Harris for president, telling The Daily Show, “I want her to win because she’s a Democrat, and I love my mom.”		
2024-10-29T18:25:00Z	What will happen to Bitcoin if Donald Trump or Kamala Harris win the election? Here's what to know	Bitcoin is holding strong at $72,000, poised for a potential new all-time high just a week before the U.S. elections — an event that many traders anticipate will boost market optimism, irrespective of the outcome. Read more...		
2024-10-26T17:18:23Z	Beyoncé Fails to Deliver Odds Boost for Kamala Harris	"Vice President Kamala Harris' odds of winning the 2024 presidential election have worsened over the past 24 hours, according to a leading bookmaker.
On Friday, Betfair offered odds of 6/4 (40 percent) on Harris achieving victory on November 5, compared to 4/6…"		
2024-10-20T17:50:49Z	‘We’re Going to Subpoena Their Records!’ Trump Vows Investigation Into Editing of ’60 Minutes’ Interview With Kamala Harris	"Trump vowed an investigation into 60 Minutes' recent interview with Kamala Harris — in which one of her answers was edited in controversial manner.
The post ‘We’re Going to Subpoena Their Records!’ Trump Vows Investigation Into Editing of ’60 Minutes’ Intervi…"		
2024-10-16T17:45:37Z	Behar: Kamala Harris Would Be at 90% Without 'Misogyny'	"Wednesday on ABC's ""The View,"" co-host Joy Behar said Vice President Kamala Harris would be at 90% in the polls without all the ""misogyny out there.""
The post Behar: Kamala Harris Would Be at 90% Without ‘Misogyny’ appeared first on Breitbart."		
2024-11-01T07:00:00Z	Kamala Harris to Spend Election Night at Howard	"Kamala Harris to Spend Election Night at Howard

 


 
Liam Knox

Fri, 11/01/2024 - 03:00 AM


 
 Byline(s)
 
 Liam Knox
 
 
Kamala Harris to Spend Election Night at Howard

 


 
Liam Knox

Fri, 11/01/2024 - 03:00 AM


 
 Byline(s)
 
 Liam Knox"		
2024-10-13T17:55:04Z	REVEALED: Kamala Harris' Town Hall With 'Undecided Latino Voters' Was Rigged (Bonchie/RedState)	"Bonchie / RedState:
REVEALED: Kamala Harris' Town Hall With ‘Undecided Latino Voters’ Was Rigged  —  With her campaign stumbles continuing, Kamala Harris has been desperately attempting to shore up traditionally Democrat-friendly voting demographics.  On Thur…"		
2024-10-24T19:18:37Z	Beyoncé Expected to Perform “Freedom” at Kamala Harris Houston Rally Friday, Says Source	The Houston-born superstar is slated to take the stage alongside the candidate, sources confirm to VF.		
2024-10-12T12:29:05Z	Harris fans claw for victory with Kamala-themed nail polishes	"The race for the U.S. presidency is a nail-biter, so two Kamala Harris supporters have taken matters into their own manicured hands and launched a line of nail polishes themed around viral moments from the Democratic campaign.""We wanted something that was pla…"		
2024-11-03T17:00:00Z	‘Saturday Night Live’ Highlights: Vice President Kamala Harris Plays Opposite Vice President Kamala Harris	Taking a slight detour from swinging through swing states, the presidential hopeful joined the cast in Studio 8H for a cold open that allowed us to laugh and hope in spite of pre-Election Day anxiety and dread.		
2024-10-21T20:49:39Z	The Strangely Empty Politics of Kamala Harris	"""Harris seems to be adopting a gimmicky new strategy every day, from embracing cryptocurrency to announcing that as president she'll run all policy through a bipartisan council of advisors. She's throwing everything against the wall, hoping that something, an…"		
2024-10-11T17:07:36Z	Kamala Harris Gets Another Vogue Cover	Three weeks out from the election, Vice-President Kamala Harris got another ‘Vogue’ cover. This time, she’s not wearing Converse.		
2024-10-11T20:39:19Z	Why This Highly Accurate, Market-Based Election Indicator Seems To Be Predicting A Kamala Harris Win	This stock market predictor which has accurately coincided with 20 of the last four presidential election winners is a near lock to land in Harris’ favor—though betting odds are on Trump’s side.		
2024-10-28T14:24:26Z	Bad Bunny, Luis Fonsi, Ricky Martin, & Other Puerto Rican Pop Stars Endorse Kamala Harris Following Racist Jokes At Donald Trump Rally	Donald Trump held a rally at Madison Square Garden Sunday night, and some of the comments made there were maybe even more racist than usual. A self-proclaimed comedian named Tony Hinchcliffe started the rally with a brief set in which he told the crowd: “I do…		
2024-10-11T12:56:54Z	Obama says Black men should be supporting Kamala Harris over Trump	Former President Barack Obama spent Thursday on the campaign trail in Pennsylvania where he delivered a blunt message to Black men about why he believes they should be supporting Vice President Kamala Harris over former President Donald Trump. CBS News campai…		
2024-10-30T23:26:34Z	Jennifer Aniston Casts Vote For Kamala Harris: “Let’s Please End This Era Of Fear, Chaos & Attacks On Our Democracy”	Jennifer Aniston shared that she has cast her vote in the 2024 presidential election and supports Kamala Harris and Tim Walz. In a social media post, the Friends alum shared why she was backing the Democratic nominees. “Today not only did I vote for access to…		
2024-10-21T19:59:49Z	Ripple Co-Founder Larsen Flooding Kamala Harris' Election Effort With XRP	Ripple co-founder and Executive Chairman Chris Larsen said he'd added another $10 million in the Ripple-tied token {{XRP}} in an effort to boost Vice President Kamala Harris as the Democrat faces off against former President Donald Trump in next month's elect…		
2024-10-11T17:07:09Z	"CNN, VP Kamala Harris Set Town Hall; FOX ""News,"" Trump Set Infomercial"	In terms of debates? Yeah, those aren't happening anymore. Not after the ass-beating that Vice President Kamala Harris gave ex-reality show host, multi-impeached ex-POTUS, and convicted felon Donald Trump. Since that time, his campaign has been pulling out ev…		
2024-10-14T07:13:52Z	Kamala Harris Hits Trump With 1 Brutally Honest Question About His Health	"The vice president suggested Trump is ""too weak and unstable"" to lead the nation."		
2024-10-15T15:25:00Z	Kamala Harris participating in audio town hall hosted by Charlamagne tha God	"Vice President Kamala Harris will be in Detroit Tuesday to tape an audio town hall with Charlamagne tha God, co-host of ""The Breakfast Club."" CBS News campaign reporter Nidia Cavazos has more."		
2024-10-27T18:01:25Z	Kamala Harris Announces Madison Rally With Gracie Abrams & The National, Tim Walz Courts Midwest Emo Vote	Election Day is fast approaching, and Kamala Harris is quickly filling out her schedule leading up to Nov. 5. In the past few days alone, she’s hosted rallies featuring notable guest speakers and performers such as Barack Obama, Eminem, Bruce Springsteen, and…		
2024-10-11T14:00:00Z	270 Reasons: Because Kamala Harris Can Say the Word “Abortion”	Our friends at 270 Reasons are gathering a polyphonic orchestra of brilliant writers, teachers, doctors, filmmakers, artists, and citizens of all kinds to weigh in about their plans to vote this November. These opinion essays run the gamut from advocacy for b…		
2024-10-13T10:23:03Z	Donald Trump Holds a Rally in California, Kamala Harris’ Home State	With the presidency on the line in battlegrounds like Wisconsin and Pennsylvania, Trump spent Saturday night in solidly liberal California.		
2024-10-27T06:59:55Z	'Kamala Harris Will Get Us Into World War III,' Says Donald Trump	Trump reiterated that conflicts like the one following the October 7 attack by Hamas on Israel wouldn't have occurred if he were president.		
2024-10-14T16:40:08Z	"VP Kamala Harris Set for FOX ""News"" Interview This Wednesday"	While ex-reality show host, multi-impeached ex-POTUS, and convicted felon Donald Trump continues bunkering down and avoiding any press that isn't super friendly to him, Vice President Kamala Harris and her campaign have decided to feed into the allegations th…		
2024-10-20T03:36:55Z	Usher Joins Kamala Harris in Atlanta: Her Vision ‘Includes Everyone’	Usher spoke at a get out the vote event in Atlanta with Democratic presidential nominee and Vice President Kamala Harris on Saturday.		
2024-10-29T20:21:50Z	Jennifer Lopez To Join Kamala Harris At Las Vegas Campaign Rally; Maná To Perform	Jennifer Lopez will join Vice President Kamala Harris at a “When We Vote We Win” rally in Las Vegas on Thursday, October 31. Lopez, we’re told, will speak on the importance of voting, what’s at stake for the country with this election and why she is endorsing…		
2024-10-17T00:54:08Z	"VP Kamala Harris Interview: Does Bret Baier Actually Watch FOX ""News""?"	"Tonight was the night when Vice President Kamala Harris was kind enough to give FOX ""News"" a chance to feel like it should have a seat at the big kids' table in terms of news and journalism. When the dust settled, there were three key truths that can't be den…"		
2024-10-17T18:24:38Z	Jill Stein Hurts Donald Trump More Than Kamala Harris, Poll Suggests	"A new poll suggests that Green Party presidential candidate Jill Stein is drawing more voters from former President Donald Trump than from Vice President Kamala Harris.
According to a Noble Predictive Insights survey released last week, Harris holds a narrow …"		
2024-11-01T04:17:48Z	US election: Why is Kamala Harris losing Indian American voters?	She could become the Indian American president. So why is she bleeding votes - to Trump's advantage?		
2024-10-24T15:15:50Z	Queen Bey & The VP: Beyoncé To Appear With Kamala Harris In Texas Tomorrow	Beyoncé has long allowed Kamala Harris to use her ‘Freedom’ song as the Vice President’s campaign soundtrack, but now Queen Bey is hitting the stage in person as the close White House race goes into its final days. The 32-Grammy winning superstar with appear …		
2024-10-28T20:31:23Z	Kamala Harris' 'first priority' as president: To 'stop this pain' and 'injustice' from abortion bans	Just one week out from the elections, Vice President Kamala Harris is using her pro-choice platform to carry her over the finish line.		
2024-11-01T18:44:01Z	Meet Kamala Harris' Family, Including Her Husband & 2 Step-Children	Vice President Kamala Harris is going to be spending the next few days in the spotlight in the leadup to the 2024 election, where she hopes to beat Donald Trump and become the next president of the United States. The election will take place on Tuesday (Novem…		
2024-10-25T01:03:37Z	Mel Gibson Maligns Kamala Harris As Having “IQ Of A Fence Post”; ‘Mad Max’ Star Supporting Donald Trump In Tight Election, He Says	Just a few days ago, Andrew Garfield praised his Hacksaw Ridge director Mel Gibson for the “beautiful healing with himself” the Oscar winner has done over the year. Based on comments Gibson made today at LAX about the Vice President of the United States, the …		
2024-10-19T10:00:30Z	[Removed]	[Removed]		
2024-10-20T08:17:50Z	Alec Baldwin Returns to ‘SNL’ to Spoof Bret Baier, Kamala Harris Interview; Months After Judged Dismissed Involuntary Manslaughter Case	"Alec Baldwin, who won an Emmy for playing former President Donald Trump, didn’t reprise that role — he returned to ""Saturday Night Live"" to play Fox News’ Bret Baier in an opening skit that spoofed this week’s interview with Kamala Harris.
The post Alec Baldw…"		
2024-10-28T21:46:11Z	GloRilla Endorses Kamala Harris, Lists Four Reasons to Vote for the Democratic Candidate	The Memphis-born rapper previously visited the White House in March, snapping a selfie with the Vice President		
2024-10-15T20:46:44Z	Could Kamala Harris Beat Trump at His Own Podcast Game?	The candidates in election 2024 have courted the biggest podcasters, but neither have appeared on the big daddy of them all: Joe Rogan’s show. Now both are making noises about it.		
2024-10-21T20:18:35Z	Ripple Co-Founder Larsen Flooding Kamala Harris' Election Effort With XRP	Ripple co-founder and Executive Chairman Chris Larsen said he'd added another $10 million in the Ripple-tied token {{XRP}} in an effort to boost Vice President Kamala Harris as the Democrat faces off against former President Donald Trump in next month's elect…		
2024-10-15T15:38:28Z	ElectionLine’s View From Abroad: Spain’s Vanessa Jaklitsch On Kamala Harris Proving Doubters Wrong & Why Europe Hopes Democracy Will Prevail	Welcome to ElectionLine’s A View From Abroad series, in which we speak with media figures who are not from America but keep a close eye on its politics. Every few weeks, these smart observers provide a unique perspective on the fraught and unpredictable campa…		
2024-11-03T19:30:13Z	Lady Gaga, Katy Perry, Oprah Winfrey Set for Kamala Harris’ Election Eve Pennsylvania Rallies	Gaga, the Roots, Winfrey, Jazmine Sullivan and more will take stage in Philadelphia, while Perry and Andra Day will appear along vice president at Pittsburgh rally on Monday night		
2024-10-12T21:51:59Z	Trump Calls Kamala Harris ‘Retarded’ During a Donor Dinner: Report	Donald Trump called Democratic presidential Kamala Harris 'retarded' during a recent donor dinner, according to 'The New York Times.'		
2024-10-13T08:35:18Z	'SNL' Roasts 'Raised Middle-Class' Kamala Harris in 'Family Feud' Cold Open: 'The Whole World's Laughing at Her'	"Kenan Thompson, the longest-tenured ""Saturday Night Live"" cast member in the show’s history who began in 2003, reprised his long-running role as “Feud” host Steve Harvey and asked Maya Rudolph-as-Harris about her recent media blitz.
The post ‘SNL’ Roasts ‘Rai…"		
2024-10-22T10:00:24Z	[Removed]	[Removed]		
2024-10-13T09:48:12Z	[Removed]	[Removed]		
2024-11-01T01:37:09Z	Donald Trump sues CBS over ‘misleading’ interview with rival Kamala Harris	Lawsuit against 60 Minutes demands $10bn in damages and claims footage was edited.		
2024-10-25T18:01:40Z	Washington Post reports that owner Jeff Bezos stopped it from endorsing Kamala Harris	"Former Washington Post executive editor Marty Baron called the decision ""a moment of darkness that will leave democracy as a casualty."""		
2024-10-20T00:24:20Z	‘We Can’t Stand You, You’re a Sh*t Vice President!’ Rally Crowd Goes Wild as Trump Urges Them to Tell Kamala Harris ‘Get The Hell Out!’	"Former President Donald Trump blasted Kamala Harris at his Pennsylvania rally for being a ""shit vice president"" and told her to ""get the hell out!"" 
The post ‘We Can’t Stand You, You’re a Sh*t Vice President!’ Rally Crowd Goes Wild as Trump Urges Them to Tell…"		
2024-10-19T10:00:00Z	Kamala Harris' Fox News appearance is a lesson for Democrats	Kamala Harris' Fox News interview with Bret Baier is a lesson for Democrats — and for Donald Trump.   With weeks until Election Day, find voters where they are.		
2024-10-24T13:05:49Z	Woman Says She Used an Apple AirTag to Track Down Stolen Kamala Harris Sign	When her lawn signs kept disappearing, one Missouri woman turned to innovative measures.		
2024-10-27T04:00:00Z	Who Is The ‘Real’ Kamala Harris? Who Is The ‘Real’ Tim Walz?	The question brings up the commonsense idea that human beings can wear a mask (a “persona”) and pretend to be one person while actually being something or someone entirely different. It’s based on the age-old philosophical topic of ...		
2024-10-15T17:46:05Z	Rural Voters, Share Why You're Supporting Kamala Harris Or Donald Trump	Voters who live in a rural community, we want to hear from you!View Entire Post ›		
2024-10-18T15:15:22Z	Cori Bush on Palestinian liberation, Kamala Harris and the pro-Israel lobby	Marc Lamont Hill talks with the US congresswoman about the November elections and Palestinian liberation.		
2024-10-16T13:55:01Z	Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Tyler Perry, Bill Ackman Weigh In (Update)	The likes of Jeff Bezos and Bill Gates have shied away from offering endorsements like their ultrarich counterpart Elon Musk, but they have shared some thoughts about the two candidates.		
2024-10-21T18:57:56Z	Kamala Harris Says Donald Trump's Potty Mouth “Demeans The Office” of the President	The former president, never big on decorum, was especially vulgar at a recent campaign stop in Pennsylvania.		
2024-10-25T16:24:42Z	“Bulls—“: Charlamagne Tha God And Anderson Cooper Spar Over Network’s Coverage Of Donald Trump Vs. Kamala Harris	Charlamagne Tha God and Anderson Cooper used expletives at points as they engaged in a spirited debate over how CNN and other networks have covered Donald Trump versus Kamala Harris. On AC 360 on Thursday, Cooper made the point that when it comes to Trump, “i…		
2024-10-11T10:30:00Z	Why Not Taxing Tips Is The One Thing Donald Trump And Kamala Harris Agree On	There’s not a lot that Vice President Kamala Harris and former President Donald Trump agree on, but doing away with taxes on tips is one thing that they’re both promot...		
2024-11-01T08:11:21Z	As Kamala Harris makes final appeal to U.S. voters in Philly, her supporters hope it's a seismic moment	Kamala Harris is holding her final campaign rally in Philadelphia on Monday night. While Harris herself has downplayed the historic nature of her candidacy, on the evening before election day, her supporters told CBC News it feels like a significant moment.		
